
央视高清,#genre#
中国教育4台,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_CETV-4/G_CETV-4.m3u8
中国教育4台,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CETV-4/G_CETV-4.m3u8

卫视,#genre#

天津卫视,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_TIANJIN-HQ/G_TIANJIN-HQ.m3u8
天津卫视,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_TIANJIN-HQ/G_TIANJIN-HQ.m3u8
天津卫视,http://hacbn.ks-cdn.henancatv.com/gitv_escape/G_TIANJIN-HQ/G_TIANJIN-HQ.m3u8
天津卫视,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_TIANJIN-HQ/G_TIANJIN-HQ.m3u8
天津卫视,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_TIANJIN-HQ/G_TIANJIN-HQ.m3u8
浙江卫视,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8
浙江卫视,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8
浙江卫视,http://hacbn.ks-cdn.henancatv.com/gitv_escape/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8
浙江卫视,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8
浙江卫视,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8
东方卫视,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_DONGFANG-HQ/G_DONGFANG-HQ.m3u8
东方卫视,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_DONGFANG-HQ/G_DONGFANG-HQ.m3u8
东方卫视,http://hacbn.ks-cdn.henancatv.com/gitv_escape/G_DONGFANG-HQ/G_DONGFANG-HQ.m3u8
东方卫视,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_DONGFANG-HQ/G_DONGFANG-HQ.m3u8
东方卫视,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_DONGFANG-HQ/G_DONGFANG-HQ.m3u8
兵团卫视,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_BINGTUAN/G_BINGTUAN.m3u8
兵团卫视,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_BINGTUAN/G_BINGTUAN.m3u8
兵团卫视,http://hacbn.ks-cdn.henancatv.com/gitv_escape/G_BINGTUAN/G_BINGTUAN.m3u8
兵团卫视,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_BINGTUAN/G_BINGTUAN.m3u8
兵团卫视,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_BINGTUAN/G_BINGTUAN.m3u8
江苏卫视,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_JIANGSU-HQ/G_JIANGSU-HQ.m3u8
江苏卫视,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_JIANGSU-HQ/G_JIANGSU-HQ.m3u8
